dataset,maxCPU,deltaCPU,maxAcc,deltaAcc,popularityTime,dataTier,sizeGb,age
/DYJJ01JetsToLL_M-50_MJJ-200_TuneZ2Star_8TeV-madgraph_tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,649,322,649,322,19,AODSIM,183,119
/DYJetsToEE-MuMu_PtZ-100To300_TuneZ2_8TeV-calchep-pythia/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,20,12,20,12,2,AODSIM,21,63
/DYJetsToLL_HT-200To400_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,6623,6256,6623,6256,36,AODSIM,1442,21
/DYJetsToLL_HT-200To400_TuneZ2Star_8TeV-madgraph_ext/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,4374,2708,4374,2708,2,AODSIM,1178,161
/DYJetsToLL_HT-400ToInf_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,4920,3029,4920,3029,37,AODSIM,690,259
/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,48667,22124,48667,22124,83,AODSIM,11455,595
/DYJetsToLL_M-10To50_TuneZ2_7TeV-madgraph/Fall11-PU_S6_START42_V14B-v1/AODSIM,34572,7372,34572,7372,31,AODSIM,6155,35
/DYJetsToLL_M-10To50_TuneZ2_7TeV-madgraph/Fall11-PU_S6_START44_V9B-v1/AODSIM,6982,4713,6982,4713,20,AODSIM,5887,196
/DYJetsToLL_M-10To50filter_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,8149,6527,8149,6527,85,AODSIM,2328,322
/DYJetsToLL_M-50_13TeV-madgraph-pythia8-tauola_v2/Spring14miniaod-PU20bx25_POSTLS170_V5-v1/MINIAODSIM,344,218,344,218,4,MINIAODSIM,1196,35
/DYJetsToLL_M-50_13TeV-madgraph-pythia8/Fall13dr-tsg_PU20bx25_POSTLS162_V2-v1/GEN-SIM-RAW,727,655,727,655,2,GEN-SIM-RAW,4158,42
/DYJetsToLL_M-50_13TeV-madgraph-pythia8/Fall13dr-tsg_PU40bx25_POSTLS162_V2-v1/GEN-SIM-RAW,7191,1587,7191,1587,2,GEN-SIM-RAW,5256,77
/DYJetsToLL_M-50_13TeV-madgraph-pythia8/Spring14dr-Flat20to50_POSTLS170_V5-v1/AODSIM,445,445,445,445,5,AODSIM,520,21
